id,filepath,filename,extension,frontmatter_status,frontmatter
42,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\10 - Atlas\Bases,Bases,,,
43,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\10 - Atlas\Definição de Estruturas do Vault,Definição de Estruturas do Vault,,,
44,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\10 - Atlas\Home.md,Home,.md,FrontmatterStatus.VALID,"{'tags': None, 'modified': '2026-03-09 11:54:10', 'created': '2026-03-09 13:28:21'}"
45,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\20 - Calendário\20 - Calendário.md,20 - Calendário,.md,FrontmatterStatus.VALID,"{'categorias': ['[[Braços do Vault (Categoria)]]'], 'modified': '2026-03-09 11:56:53', 'created': '2026-03-09 13:28:21'}"
46,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\20 - Calendário\Diário,Diário,,,
47,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\20 - Calendário\Logs,Logs,,,
48,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\20 - Calendário\Rotinas,Rotinas,,,
49,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\30 - Entes\30 - Entes.md,30 - Entes,.md,FrontmatterStatus.VALID,"{'categorias': ['[[Braços do Vault (Categoria)]]'], 'modified': '2026-03-09 11:57:08', 'created': '2026-03-09 13:28:21'}"
50,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\30 - Entes\Canvas (Ente),Canvas (Ente),,,
51,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\30 - Entes\Locais (Ente),Locais (Ente),,,
52,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\30 - Entes\Mídias (Ente),Mídias (Ente),,,
53,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\30 - Entes\Notas Simples (Ente),Notas Simples (Ente),,,
54,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\30 - Entes\Objetivos (Ente),Objetivos (Ente),,,
55,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\30 - Entes\Pessoas (Ente),Pessoas (Ente),,,
56,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\30 - Entes\Z - Outros (Ente),Z - Outros (Ente),,,
